 shear	 lambda	 n,m	 FLAG	 |A-Ar|/Ar	 |L-Lr|/Lr 
-------------------------------------------------------------------------------------
 shear	 lambda	 n,m	 FLAG	 |A-Ar|/Ar	 |L-Lr|/Lr 
-------------------------------------------------------------------------------------
 1  	 0.0500	 32 	 1	 7.4680e-05	 1.4192e-04
 1  	 0.0500	 64 	 1	 3.6399e-06	 3.8395e-04
 1  	 0.0500	 128	 1	 4.0859e-07	 1.7493e-04
 1  	 0.0500	 256	 1	 4.1435e-08	 7.1240e-05
 1  	 1.0000	 32 	 1	 7.4680e-05	 1.4192e-04
 1  	 1.0000	 64 	 1	 3.6399e-06	 3.8395e-04
 1  	 1.0000	 128	 1	 4.0859e-07	 1.7493e-04
 1  	 1.0000	 256	 1	 4.1435e-08	 7.1240e-05
 1  	 50.0000	 32 	 1	 7.4680e-05	 1.4192e-04
 1  	 50.0000	 64 	 1	 3.6399e-06	 3.8395e-04
 1  	 50.0000	 128	 1	 4.0859e-07	 1.7493e-04
 1  	 50.0000	 256	 1	 4.1435e-08	 7.1240e-05
 1  	 0.0500	 32 	 1	 2.3135e-05	 4.7547e-04
 1  	 0.0500	 64 	 1	 1.1244e-06	 1.0596e-04
 1  	 0.0500	 128	 1	 4.7708e-07	 5.6911e-05
 1  	 0.0500	 256	 1	 2.2231e-07	 2.7757e-05
 1  	 1.0000	 32 	 1	 2.3135e-05	 4.7547e-04
 1  	 1.0000	 64 	 1	 1.1244e-06	 1.0596e-04
 1  	 1.0000	 128	 1	 4.7708e-07	 5.6911e-05
 1  	 1.0000	 256	 1	 2.2231e-07	 2.7757e-05
 1  	 50.0000	 32 	 1	 2.3135e-05	 4.7547e-04
 1  	 50.0000	 64 	 1	 1.1244e-06	 1.0596e-04
 1  	 50.0000	 128	 1	 4.7708e-07	 5.6911e-05
 1  	 50.0000	 256	 1	 2.2231e-07	 2.7757e-05
 1  	 0.0500	 32 	 1	 4.2978e-05	 2.3437e-04
 1  	 0.0500	 64 	 1	 1.9130e-06	 1.7438e-04
 1  	 0.0500	 128	 1	 8.4482e-07	 8.1482e-05
 1  	 0.0500	 256	 1	 2.8912e-07	 3.3343e-05
 1  	 1.0000	 32 	 1	 4.2978e-05	 2.3437e-04
 1  	 1.0000	 64 	 1	 1.9130e-06	 1.7438e-04
 1  	 1.0000	 128	 1	 8.4482e-07	 8.1482e-05
 1  	 1.0000	 256	 1	 2.8912e-07	 3.3343e-05
 1  	 50.0000	 32 	 1	 4.2978e-05	 2.3437e-04
 1  	 50.0000	 64 	 1	 1.9130e-06	 1.7438e-04
 1  	 50.0000	 128	 1	 8.4482e-07	 8.1482e-05
 1  	 50.0000	 256	 1	 2.8912e-07	 3.3343e-05
